Name;Dataset;z;d;Ang;N [cm^-2];b [km/s];zfit
G_936;RD0165;2.3;120;90;4.07E+13;44.25345293;2.299948005
G_937;RD0165;2.3;120;108;3.35E+17;9.609765834;2.299254045
G_938;RD0165;2.3;120;126;3.50E+17;9.399019813;2.299259319
G_939;RD0165;2.3;120;144;5.54E+17;8.413819655;2.299256254
G_940;RD0165;2.3;120;162;2.77E+17;18.64749906;2.298930225
G_941;RD0165;2.3;150;0;0;0;0
G_942;RD0165;2.3;150;18;0;0;0
G_943;RD0165;2.3;150;36;1.45E+14;34.58461313;2.300263746
G_944;RD0165;2.3;150;54;7.84E+13;52.3083913;2.30003418
G_945;RD0165;2.3;150;72;5.10E+16;14.39666613;2.299120481
G_946;RD0165;2.3;150;90;9.64E+17;62.91603266;2.298269266
G_947;RD0165;2.3;150;108;4.51E+15;27.46302558;2.298942398
G_948;RD0165;2.3;150;126;8.90E+14;32.50797679;2.298937574
G_949;RD0165;2.3;150;144;1.97E+14;42.03425324;2.298842703
G_950;RD0165;2.3;150;162;1.52E+14;36.49907729;2.298765536
G_951;RD0165;2.3;180;0;0;0;0
G_952;RD0165;2.3;180;18;8.25E+13;32.64662418;2.300121056
G_953;RD0165;2.3;180;36;4.01E+17;1.319344572;2.300219797
G_954;RD0165;2.3;180;54;8.26E+13;51.5709531;2.300103761
G_955;RD0165;2.3;180;72;1.07E+18;1.003085695;2.29900278
G_956;RD0165;2.3;180;90;0;0;0
G_957;RD0165;2.3;180;108;4.38E+15;26.54535998;2.298826619
G_958;RD0165;2.3;180;126;1.66E+15;26.14334647;2.298807091
G_959;RD0165;2.3;180;144;2.70E+15;23.65816281;2.29879029
G_960;RD0165;2.3;180;162;1.51E+16;22.92369267;2.298327339
G_961;RD0165;2.3;210;0;0;0;0
G_962;RD0165;2.3;210;18;5.28E+15;17.85817225;2.30008909
G_963;RD0165;2.3;210;36;3.14E+17;12.0016641;2.300123222
G_964;RD0165;2.3;210;54;1.83E+16;14.97197641;2.299114623
G_965;RD0165;2.3;210;72;0;0;0
G_966;RD0165;2.3;210;90;0;0;0
G_967;RD0165;2.3;210;108;1.19E+16;27.69422925;2.298206015
G_968;RD0165;2.3;210;126;0;0;0
G_969;RD0165;2.3;210;144;0;0;0
G_970;RD0165;2.3;210;162;0;0;0
G_971;RD0165;2.3;240;0;0;0;0
G_972;RD0165;2.3;240;18;4.82E+13;37.18209172;2.299984503
G_973;RD0165;2.3;240;36;4.88E+17;1.000591591;2.300233375
G_974;RD0165;2.3;240;54;0;0;0
G_975;RD0165;2.3;240;72;1.33E+16;17.77811885;2.298374968
G_976;RD0165;2.3;240;90;1.05E+14;100.762297;2.298263636
G_977;RD0165;2.3;240;108;0;0;0
G_978;RD0165;2.3;240;126;0;0;0
G_979;RD0165;2.3;240;144;0;0;0
G_980;RD0165;2.3;240;162;0;0;0
G_981;RD0165;2.3;270;0;0;0;0
G_982;RD0165;2.3;270;18;1.51E+16;19.0938015;2.299007747
G_983;RD0165;2.3;270;36;5.15E+17;1.00040478;2.300316908
G_984;RD0165;2.3;270;54;0;0;0
G_985;RD0165;2.3;270;72;0;0;0
G_986;RD0165;2.3;270;90;8.57E+13;149.1434542;2.298263529
G_987;RD0165;2.3;270;108;7.08E+17;1.000268652;2.297765187
G_988;RD0165;2.3;270;126;0;0;0
G_989;RD0165;2.3;270;144;0;0;0
G_990;RD0165;2.3;270;162;0;0;0
G_991;RD0165;2.3;300;0;5.43E+13;58.38387995;2.29948383
G_992;RD0165;2.3;300;18;0;0;0
G_993;RD0165;2.3;300;36;1.52E+16;16.98012948;2.298396976
G_994;RD0165;2.3;300;54;1.48E+16;16.83844511;2.298388171
G_995;RD0165;2.3;300;72;1.09E+18;1.002698562;2.297408138
G_996;RD0165;2.3;300;90;0;0;0
G_997;RD0165;2.3;300;108;1.00E+18;1.000536187;2.297799378
G_998;RD0165;2.3;300;126;5.12E+17;1.000861223;2.297751215
G_999;RD0165;2.3;300;144;3.36E+16;19.23966569;2.297672518
G_1000;RD0165;2.3;300;162;1.35E+16;20.47927293;2.297661487
G165_2.4;RD0165;2.4;0;0;4.98E+20;299.9978572;2.396957862
G_1001;RD0165;2.4;30;0;2.10E+17;62.33653871;2.399778247
G_1002;RD0165;2.4;30;18;4.58E+17;65.95863263;2.39958124
G_1003;RD0165;2.4;30;36;1.48E+18;50.54631255;2.399582275
G_1004;RD0165;2.4;30;54;3.76E+17;43.8344583;2.399981537
G_1005;RD0165;2.4;30;72;7.02E+17;47.44242626;2.399945799
G_1006;RD0165;2.4;30;90;5.66E+19;45.4434432;2.39981764
G_1007;RD0165;2.4;30;108;3.99E+17;62.5364299;2.399385088
G_1008;RD0165;2.4;30;126;4.34E+17;50.87510849;2.399308064
G_1009;RD0165;2.4;30;144;2.62E+17;49.3957234;2.399352576
G_1010;RD0165;2.4;30;162;8.79E+17;13.09589211;2.398754607
G_1011;RD0165;2.4;60;0;3.72E+17;41.34574634;2.399630903
G_1012;RD0165;2.4;60;18;1.38E+17;48.95663401;2.399839165
G_1013;RD0165;2.4;60;36;3.77E+17;36.74086216;2.399868879
G_1014;RD0165;2.4;60;54;9.06E+17;38.97253147;2.399748159
G_1015;RD0165;2.4;60;72;2.41E+17;40.55524652;2.399691538
G_1016;RD0165;2.4;60;90;1.65E+17;46.271343;2.399827891
G_1017;RD0165;2.4;60;108;5.02E+16;48.91029851;2.399491651
G_1018;RD0165;2.4;60;126;1.00E+18;38.1183231;2.399546724
G_1019;RD0165;2.4;60;144;8.13E+17;37.22377714;2.399615901
G_1020;RD0165;2.4;60;162;3.63E+17;46.55679785;2.399366023
G_1021;RD0165;2.4;90;0;2.42E+17;25.62568302;2.399937601
G_1022;RD0165;2.4;90;18;3.65E+17;20.28910089;2.400247924
G_1023;RD0165;2.4;90;36;8.57E+16;10.10037463;2.400596789
G_1024;RD0165;2.4;90;54;5.42E+16;20.12379772;2.400892285
G_1025;RD0165;2.4;90;72;5.90E+17;12.01429553;2.400098862
G_1026;RD0165;2.4;90;90;1.68E+17;10.05085477;2.400596209
G_1027;RD0165;2.4;90;108;2.26E+17;9.972940161;2.399279539
G_1028;RD0165;2.4;90;126;1.98E+17;10.10691339;2.399285904
G_1029;RD0165;2.4;90;144;4.12E+18;1.000278077;2.399267095
G_1030;RD0165;2.4;90;162;1.38E+17;19.55698019;2.398974499
G_1031;RD0165;2.4;120;0;3.25E+17;15.94958947;2.399689939
G_1032;RD0165;2.4;120;18;9.19E+16;20.92246067;2.400216858
G_1033;RD0165;2.4;120;36;1.68E+17;17.97989437;2.400307106
G_1034;RD0165;2.4;120;54;1.67E+17;17.29638492;2.400221251
G_1035;RD0165;2.4;120;72;2.15E+17;1.002077178;2.400002511
G_1036;RD0165;2.4;120;90;4.01E+13;43.58343804;2.399961774
G_1037;RD0165;2.4;120;108;9.20E+15;31.24197423;2.399146401
G_1038;RD0165;2.4;120;126;3.25E+17;9.250615006;2.399282282
G_1039;RD0165;2.4;120;144;4.96E+17;17.79152004;2.3989842
G_1040;RD0165;2.4;120;162;2.62E+17;17.92103841;2.398949384
G_1041;RD0165;2.4;150;0;1.25E+15;30.54495585;2.399617214
G_1042;RD0165;2.4;150;18;1.77E+14;34.50933988;2.400138775
G_1043;RD0165;2.4;150;36;1.46E+14;33.78083467;2.400285892
G_1044;RD0165;2.4;150;54;7.65E+13;50.33399293;2.400070196
G_1045;RD0165;2.4;150;72;2.28E+16;16.87631444;2.399084322
G_1046;RD0165;2.4;150;90;1.01E+18;60.84092108;2.398290763
G_1047;RD0165;2.4;150;108;3.90E+15;26.81209593;2.398950233
G_1048;RD0165;2.4;150;126;3.13E+15;26.05810145;2.39894317
G_1049;RD0165;2.4;150;144;1.98E+14;39.0826535;2.398822763
G_1050;RD0165;2.4;150;162;1.54E+14;35.40581181;2.398756134
G_1051;RD0165;2.4;180;0;0;0;0
G_1052;RD0165;2.4;180;18;8.41E+13;32.04940206;2.400135314
G_1053;RD0165;2.4;180;36;3.91E+17;1.000943055;2.400240131
G_1054;RD0165;2.4;180;54;3.40E+17;1.008587704;2.39999772
G_1055;RD0165;2.4;180;72;1.22E+18;1.001785378;2.39895234
G_1056;RD0165;2.4;180;90;6.99E+15;22.73014409;2.398938946
G_1057;RD0165;2.4;180;108;3.90E+14;42.02367177;2.398631104
G_1058;RD0165;2.4;180;126;3.83E+15;23.06537819;2.398820622
G_1059;RD0165;2.4;180;144;0;0;0
G_1060;RD0165;2.4;180;162;4.65E+15;28.72907035;2.398258574
G_1061;RD0165;2.4;210;0;0;0;0
G_1062;RD0165;2.4;210;18;5.19E+16;9.468480433;2.399950604
G_1063;RD0165;2.4;210;36;3.07E+17;10.86545686;2.400150905
G_1064;RD0165;2.4;210;54;1.81E+16;14.8263131;2.399133148
G_1065;RD0165;2.4;210;72;0;0;0
G_1066;RD0165;2.4;210;90;7.10E+15;21.43822708;2.398946141
G_1067;RD0165;2.4;210;108;1.04E+16;27.53969854;2.398219903
G_1068;RD0165;2.4;210;126;0;0;0
G_1069;RD0165;2.4;210;144;0;0;0
G_1070;RD0165;2.4;210;162;0;0;0
G_1071;RD0165;2.4;240;0;0;0;0
G_1072;RD0165;2.4;240;18;4.80E+13;36.70411119;2.399997294
G_1073;RD0165;2.4;240;36;4.85E+17;1.007973327;2.400257192
G_1074;RD0165;2.4;240;54;0;0;0
G_1075;RD0165;2.4;240;72;1.21E+16;17.28533534;2.398402039
G_1076;RD0165;2.4;240;90;1.01E+14;96.99237749;2.398290705
G_1077;RD0165;2.4;240;108;0;0;0
G_1078;RD0165;2.4;240;126;0;0;0
G_1079;RD0165;2.4;240;144;0;0;0
G_1080;RD0165;2.4;240;162;0;0;0
G_1081;RD0165;2.4;270;0;5.96E+13;47.15822148;2.399656425
G_1082;RD0165;2.4;270;18;3.66E+16;1.001013376;2.398840337
G_1083;RD0165;2.4;270;36;0;0;0
G_1084;RD0165;2.4;270;54;1.38E+16;15.99920724;2.398431733
G_1085;RD0165;2.4;270;72;7.06E+16;16.60223618;2.397748528
G_1086;RD0165;2.4;270;90;8.19E+13;154.8825018;2.398290697
G_1087;RD0165;2.4;270;108;5.83E+17;1.000439916;2.397793285
G_1088;RD0165;2.4;270;126;9.50E+16;17.17328058;2.397726539
G_1089;RD0165;2.4;270;144;0;0;0
G_1090;RD0165;2.4;270;162;0;0;0
G_1091;RD0165;2.4;300;0;5.08E+13;52.93348968;2.399535242
G_1092;RD0165;2.4;300;18;0;0;0
G_1093;RD0165;2.4;300;36;1.25E+16;16.11563339;2.398426536
G_1094;RD0165;2.4;300;54;1.43E+16;15.97027313;2.398426038
G_1095;RD0165;2.4;300;72;7.41E+17;1.00254833;2.397463456
G_1096;RD0165;2.4;300;90;0;0;0
G_1097;RD0165;2.4;300;108;0;0;0
G_1098;RD0165;2.4;300;126;1.61E+17;12.6211711;2.39782753
G_1099;RD0165;2.4;300;144;1.03E+16;20.44206018;2.397685558
G_1100;RD0165;2.4;300;162;1.24E+16;16.68833377;2.397776919
G165_2.5;RD0165;2.5;0;0;3.51E+20;299.9979312;2.496677021
G_1101;RD0165;2.5;30;0;2.21E+17;61.37014706;2.499774853
G_1102;RD0165;2.5;30;18;4.88E+17;64.53485933;2.499588421
G_1103;RD0165;2.5;30;36;1.55E+18;50.13496781;2.499570054
G_1104;RD0165;2.5;30;54;4.05E+17;42.79403021;2.49999518
G_1105;RD0165;2.5;30;72;6.83E+17;46.113153;2.499894216
G_1106;RD0165;2.5;30;90;5.91E+19;44.45030297;2.499818666
G_1107;RD0165;2.5;30;108;4.52E+17;61.63084197;2.499379454
G_1108;RD0165;2.5;30;126;5.16E+17;56.09822343;2.499501478
G_1109;RD0165;2.5;30;144;2.48E+17;56.89379931;2.499611204
G_1110;RD0165;2.5;30;162;7.71E+17;1.000495714;2.498576177
G_1111;RD0165;2.5;60;0;9.67E+15;58.81154042;2.499658326
G_1112;RD0165;2.5;60;18;1.52E+17;47.99531708;2.499846147
G_1113;RD0165;2.5;60;36;3.73E+17;33.20940891;2.499962159
G_1114;RD0165;2.5;60;54;8.55E+17;41.03152826;2.4998356
G_1115;RD0165;2.5;60;72;3.38E+17;38.8829622;2.499703974
G_1116;RD0165;2.5;60;90;4.93E+17;44.12179387;2.499902855
G_1117;RD0165;2.5;60;108;8.37E+17;47.1382527;2.499808087
G_1118;RD0165;2.5;60;126;2.50E+18;73.15870118;2.498209473
G_1119;RD0165;2.5;60;144;9.64E+17;36.02338771;2.499615944
G_1120;RD0165;2.5;60;162;4.52E+17;45.14649438;2.499374923
G_1121;RD0165;2.5;90;0;2.59E+17;25.18138943;2.499945924
G_1122;RD0165;2.5;90;18;4.02E+17;19.52747554;2.500276355
G_1123;RD0165;2.5;90;36;2.32E+15;13.79027068;2.500626273
G_1124;RD0165;2.5;90;54;6.21E+16;19.40198714;2.500920998
G_1125;RD0165;2.5;90;72;5.80E+17;10.36037638;2.500091967
G_1126;RD0165;2.5;90;90;1.72E+17;9.745454289;2.500622423
G_1127;RD0165;2.5;90;108;2.77E+17;17.8099827;2.499045945
G_1128;RD0165;2.5;90;126;2.53E+17;19.48495404;2.499014481
G_1129;RD0165;2.5;90;144;3.72E+18;1.000602936;2.499300891
G_1130;RD0165;2.5;90;162;1.23E+17;18.84953719;2.499001294
G_1131;RD0165;2.5;120;0;3.49E+17;16.65484003;2.499671336
G_1132;RD0165;2.5;120;18;9.78E+16;20.29085794;2.500241691
G_1133;RD0165;2.5;120;36;1.64E+17;17.66137286;2.500328187
G_1134;RD0165;2.5;120;54;1.79E+17;17.02238443;2.500252551
G_1135;RD0165;2.5;120;72;1.36E+17;14.2572594;2.500165221
G_1136;RD0165;2.5;120;90;3.94E+13;43.00099;2.499974019
G_1137;RD0165;2.5;120;108;4.28E+16;21.39099547;2.499014696
G_1138;RD0165;2.5;120;126;3.30E+15;33.62509801;2.499185374
G_1139;RD0165;2.5;120;144;4.10E+17;17.52848512;2.499004179
G_1140;RD0165;2.5;120;162;2.49E+17;17.17543161;2.498968009
G_1141;RD0165;2.5;150;0;1.42E+15;29.6891515;2.499623433
G_1142;RD0165;2.5;150;18;1.80E+14;34.0386132;2.500151518
G_1143;RD0165;2.5;150;36;1.48E+14;33.07021541;2.500307279
G_1144;RD0165;2.5;150;54;1.81E+17;14.48611871;2.50017705
G_1145;RD0165;2.5;150;72;9.33E+17;1.001360989;2.498918218
G_1146;RD0165;2.5;150;90;1.92E+17;20.37886405;2.49964691
G_1147;RD0165;2.5;150;108;3.47E+15;26.19036076;2.498955022
G_1148;RD0165;2.5;150;126;4.21E+14;33.94814621;2.498935791
G_1149;RD0165;2.5;150;144;1.99E+14;36.52628254;2.498807464
G_1150;RD0165;2.5;150;162;1.55E+14;35.14868563;2.498741959
G_1151;RD0165;2.5;180;0;0;0;0
G_1152;RD0165;2.5;180;18;8.56E+13;31.47328996;2.500148844
G_1153;RD0165;2.5;180;36;3.91E+17;1.118120705;2.500261399
G_1154;RD0165;2.5;180;54;2.13E+17;1.006461721;2.500041044
G_1155;RD0165;2.5;180;72;1.36E+18;1.00211584;2.498896291
G_1156;RD0165;2.5;180;90;7.26E+15;22.21160712;2.498950037
G_1157;RD0165;2.5;180;108;1.07E+17;14.8607766;2.498504912
G_1158;RD0165;2.5;180;126;3.49E+14;30.91936463;2.498686011
G_1159;RD0165;2.5;180;144;0;0;0
G_1160;RD0165;2.5;180;162;1.43E+15;29.67196021;2.498307025
G_1161;RD0165;2.5;210;0;6.20E+13;39.67156888;2.499848322
G_1162;RD0165;2.5;210;18;4.41E+15;18.98733458;2.500184849
G_1163;RD0165;2.5;210;36;3.06E+17;9.572687984;2.500174115
G_1164;RD0165;2.5;210;54;1.47E+16;15.60602031;2.499130913
G_1165;RD0165;2.5;210;72;1.67E+16;16.04513284;2.49847131
G_1166;RD0165;2.5;210;90;6.41E+15;22.1907781;2.498934301
G_1167;RD0165;2.5;210;108;1.27E+15;30.72133348;2.498328237
G_1168;RD0165;2.5;210;126;0;0;0
G_1169;RD0165;2.5;210;144;0;0;0
G_1170;RD0165;2.5;210;162;0;0;0
G_1171;RD0165;2.5;240;0;0;0;0
G_1172;RD0165;2.5;240;18;4.62E+13;46.37681125;2.500003269
G_1173;RD0165;2.5;240;36;4.62E+17;1.003138105;2.500281211
G_1174;RD0165;2.5;240;54;0;0;0
G_1175;RD0165;2.5;240;72;1.04E+16;18.76456801;2.498375969
G_1176;RD0165;2.5;240;90;9.25E+13;96.66332744;2.498317857
G_1177;RD0165;2.5;240;108;7.77E+17;1.000118058;2.497863049
G_1178;RD0165;2.5;240;126;0;0;0
G_1179;RD0165;2.5;240;144;0;0;0
G_1180;RD0165;2.5;240;162;0;0;0
G_1181;RD0165;2.5;270;0;5.93E+13;44.3921652;2.499664479
G_1182;RD0165;2.5;270;18;1.28E+16;18.75518566;2.499050421
G_1183;RD0165;2.5;270;36;0;0;0
G_1184;RD0165;2.5;270;54;1.26E+16;15.66860689;2.498452541
G_1185;RD0165;2.5;270;72;9.64E+17;1.000054351;2.497537372
G_1186;RD0165;2.5;270;90;7.86E+13;168.7653791;2.498317859
G_1187;RD0165;2.5;270;108;6.67E+17;1.000507418;2.4978228
G_1188;RD0165;2.5;270;126;1.32E+17;15.28315101;2.497757549
G_1189;RD0165;2.5;270;144;0;0;0
G_1190;RD0165;2.5;270;162;7.78E+15;22.34624052;2.497650251
G_1191;RD0165;2.5;300;0;4.76E+13;48.3501502;2.499586804
G_1192;RD0165;2.5;300;18;0;0;0
G_1193;RD0165;2.5;300;36;1.35E+16;12.20731868;2.498553978
G_1194;RD0165;2.5;300;54;0;0;0
G_1195;RD0165;2.5;300;72;5.52E+17;1.004464171;2.497493393
G_1196;RD0165;2.5;300;90;0;0;0
G_1197;RD0165;2.5;300;108;1.01E+18;1.000425315;2.49721213
G_1198;RD0165;2.5;300;126;5.08E+17;1.000891441;2.497818868
G_1199;RD0165;2.5;300;144;1.07E+16;20.95356668;2.497678293
G_1200;RD0165;2.5;300;162;8.61E+15;21.85638478;2.497662341
G152_2.2;RD0152;2.2;0;0;2.52E+20;299.9999241;2.196294902
G_1201;RD0152;2.2;30;0;8.89E+17;41.5240308;2.200149388
G_1202;RD0152;2.2;30;18;7.20E+17;44.74454368;2.199877927
G_1203;RD0152;2.2;30;36;3.35E+17;53.52191721;2.200482866
G_1204;RD0152;2.2;30;54;1.09E+18;57.01151428;2.200280144
G_1205;RD0152;2.2;30;72;3.23E+18;44.77773777;2.199929582
G_1206;RD0152;2.2;30;90;6.89E+17;36.14446058;2.199559568
G_1207;RD0152;2.2;30;108;2.10E+18;74.80543763;2.200249974
G_1208;RD0152;2.2;30;126;2.27E+18;49.98510024;2.199289048
G_1209;RD0152;2.2;30;144;2.31E+18;58.56789636;2.199178903
G_1210;RD0152;2.2;30;162;8.18E+19;48.72454175;2.198962811
G_1211;RD0152;2.2;60;0;3.41E+17;19.98762;2.199585286
G_1212;RD0152;2.2;60;18;4.64E+16;28.73451957;2.200657206
G_1213;RD0152;2.2;60;36;1.52E+17;21.35934143;2.200845612
G_1214;RD0152;2.2;60;54;2.98E+17;9.500337921;2.20053365
G_1215;RD0152;2.2;60;72;3.72E+17;19.86825309;2.200209294
G_1216;RD0152;2.2;60;90;3.37E+17;19.74011525;2.200182743
G_1217;RD0152;2.2;60;108;1.09E+15;44.16503887;2.199782027
G_1218;RD0152;2.2;60;126;7.72E+16;43.76793462;2.199537159
G_1219;RD0152;2.2;60;144;6.78E+16;47.974891;2.199465492
G_1220;RD0152;2.2;60;162;3.56E+17;31.95624403;2.199145828
G_1221;RD0152;2.2;90;0;1.79E+17;11.28349293;2.199852425
G_1222;RD0152;2.2;90;18;9.27E+15;27.55220443;2.200153957
G_1223;RD0152;2.2;90;36;4.44E+15;29.15954362;2.200213139
G_1224;RD0152;2.2;90;54;5.28E+17;16.31412383;2.200303536
G_1225;RD0152;2.2;90;72;2.10E+16;13.47910682;2.199860089
G_1226;RD0152;2.2;90;90;3.37E+17;28.27567735;2.200570417
G_1227;RD0152;2.2;90;108;3.22E+16;23.10290826;2.199440305
G_1228;RD0152;2.2;90;126;4.11E+16;21.96253396;2.19948733
G_1229;RD0152;2.2;90;144;7.41E+16;22.10680941;2.199512839
G_1230;RD0152;2.2;90;162;1.07E+17;19.09221163;2.199011086
G_1231;RD0152;2.2;120;0;1.67E+17;11.23400054;2.199856775
G_1232;RD0152;2.2;120;18;0;0;0
G_1233;RD0152;2.2;120;36;8.24E+14;31.69565719;2.200210868
G_1234;RD0152;2.2;120;54;4.25E+16;21.17481594;2.200174621
G_1235;RD0152;2.2;120;72;5.92E+17;1.022865519;2.199863443
G_1236;RD0152;2.2;120;90;6.17E+17;34.05406779;2.200106163
G_1237;RD0152;2.2;120;108;2.13E+15;37.47933333;2.199040683
G_1238;RD0152;2.2;120;126;1.30E+17;28.38342;2.199133698
G_1239;RD0152;2.2;120;144;1.11E+17;21.11298852;2.1989172
G_1240;RD0152;2.2;120;162;4.88E+16;21.52309508;2.19888501
G_1241;RD0152;2.2;150;0;0;0;0
G_1242;RD0152;2.2;150;18;7.02E+16;17.83976707;2.200135152
G_1243;RD0152;2.2;150;36;6.10E+17;16.97437277;2.20022189
G_1244;RD0152;2.2;150;54;1.09E+15;32.37881547;2.200123915
G_1245;RD0152;2.2;150;72;1.52E+18;1.002167535;2.199118001
G_1246;RD0152;2.2;150;90;0;0;0
G_1247;RD0152;2.2;150;108;5.77E+15;28.50856713;2.198867384
G_1248;RD0152;2.2;150;126;3.58E+17;18.86727334;2.198866023
G_1249;RD0152;2.2;150;144;2.50E+15;26.67163634;2.198819052
G_1250;RD0152;2.2;150;162;7.16E+16;18.99694193;2.198793394
G_1251;RD0152;2.2;180;0;0;0;0
G_1252;RD0152;2.2;180;18;1.64E+15;29.42962813;2.200198796
G_1253;RD0152;2.2;180;36;7.84E+14;32.54070063;2.200140155
G_1254;RD0152;2.2;180;54;0;0;0
G_1255;RD0152;2.2;180;72;1.15E+18;1.002837978;2.200129858
G_1256;RD0152;2.2;180;90;0;0;0
G_1257;RD0152;2.2;180;108;0;0;0
G_1258;RD0152;2.2;180;126;0;0;0
G_1259;RD0152;2.2;180;144;0;0;0
G_1260;RD0152;2.2;180;162;0;0;0
G_1261;RD0152;2.2;210;0;0;0;0
G_1262;RD0152;2.2;210;18;0;0;0
G_1263;RD0152;2.2;210;36;7.37E+17;1.004389771;2.20003719
G_1264;RD0152;2.2;210;54;6.10E+17;1.000223401;2.199098876
G_1265;RD0152;2.2;210;72;3.36E+18;1.000128088;2.197866367
G_1266;RD0152;2.2;210;90;2.26E+16;20.73170651;2.198936298
G_1267;RD0152;2.2;210;108;1.82E+17;12.31008076;2.198508431
